"Country","Happiness_Rank","Happiness_Score","Adolescent fertility rate (births per 1,000 women ages 15-19)","Average precipitation in depth (mm per year)","Business extent of disclosure index (0=less to 10=more)","Cost of business start-up procedures (% of GNI per capita)","Cost to export (US$ per container)","DEC alternative conversion factor (LCU per US$)","Depth of credit information index (0=low to 8=high)","Diabetes prevalence (% of pop. ages 20 to 79)","Documents to export (number)","Documents to import (number)","Ease of doing business index (1=most business-friendly regulations)","Fixed telephone subscriptions","Fixed telephone subscriptions (per 100 people)","Immunization, measles (% of children ages 12-23 months)","Improved sanitation facilities (% of pop.)","Improved water source (% of pop.)","Improved water source, urban (% of urban pop.)","Incidence of tuberculosis (per 100,000 people)","Internet users (per 100 people)","Labor force particip. rate for ages 15-24, female (%)","Labor force particip. rate for ages 15-24, male (%)","Labor force particip. rate, male (% of male pop. ages 15-64)","Labor force particip. rate, male (% of male pop. ages 15+)","Labor force particip. rate, total (% of ttl. pop. ages 15-64)","Labor force particip. rate, total (% of ttl. pop. ages 15+)","Lifetime risk of maternal death (%)","Lifetime risk of maternal death (1 in: rate varies by country)","Merchandies imports by economy, residual (%of ttl.)","Merchandise exports by economy (current US$)","Merchandise exports by economy, residual (% of ttl.)","Merchandise imports by economy (current US$)","Merchandise imports from high-income economies (%of ttl.)","Mobile cellular subscriptions (per 100 people)","Mortality rate, infant (per 1,000 live births)","Number of infant deaths","Number of maternal deaths","Official entrance age to lower secondary education (years)","Official entrance age to primary education (years)","Population ages 65 and above (% of ttl.)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, ages 0-14 (% of ttl.)","Population, ages 15-64 (% of ttl.)","Population, female (% of ttl.)","Private credit bureau coverage (% of adults)","Procedures to build a warehouse (number)","Procedures to register property (number)","Public credit registry coverage (% of adults)","Pump price for gasoline (US$ per liter)","Ratio of female to male labor force particip. rate (%)","Refugee pop. by country or territory of asylum","Refugee pop. by country or territory of origin","Rural pop.","Rural pop. growth (annual %)","Secure Internet servers","Secure Internet servers (per 1 million people)","Start-up procedures to register a business (number)","Strength of legal rights index (0=weak to 12=strong)","Surface area (sq. km)","Tax payments (number)","Theoretical duration of primary education (years)","Theoretical duration of secondary education (years)","Time required to build a warehouse (days)","Time required to enforce a contract (days)","Time required to get electricity (days)","Time required to register property (days)","Time required to start a business (days)","Time to export (days)","Time to prepare and pay taxes (hours)","Total tax rate (% of commercial profits)","Unemp., female (% of female labor force)","Unemp., male (% of male labor force)","Urban pop.","Urban pop. growth (annual %)"
"Denmark",3,7.527,4.1192,703,7,0.2,795,5.61246666666667,6,6.05,4,3,3,1879265,33.3192144086079,90,99.6,100,100,7.1,95.99,62.7000007629395,61.2999992370605,80.599998474121,66.3000030517578,78.1999969482422,62.4000015258789,0.0107099425231464,9300,0.020774820197039,1.08087e+11,0.45997705552009,95438611800,87.1260421036426,125.957823361791,3,158,4,13,6,18.4990735623216,132.914565166156,0.437745717734919,17.0677393025801,64.4331871350984,50.3683880303154,7.8,7,3,0,2.01,88.5369503182598,17785,12,704833,-0.976442585017317,11735,2080.83424874082,4,8,43090,10,7,6,64,410,38,4,5.5,6,130,26,6.90000009536743,6.40000009536743,4934732,0.641377937324832
"Dominican Republic",98,4.885,98.4344,1410,5,16.9,1040,43.4412916666667,8,11.35,4,5,90,1226109,11.6451168843553,88,83.6,85,85.9,60,49.58,42.2000007629395,61,82.6999969482422,78.5,69.1999969482422,64.9000015258789,0.267658777170733,370,2.34975861048749,10253599994,6.28296186928731,19084316490,73.9988593351477,78.8638263591996,26.2,5690,210,12,6,6.51088517398183,215.354780629139,1.20398696153206,30.2550667440712,63.234048081947,50.1548970621884,63.1,13,6,38.1,1.41,65.4777089501642,608,349,2282960,-3.16167747963264,294,28.2530857607042,7,1,48670,7,6,6,184,460,82,45,14.5,8,316,43.2,23.3999996185303,9.5,8122983,2.46606205447086
"Ecuador",48,5.975,76.1726,2274,2,24,1535,1,8,5.91,7,6,114,2441690,15.2772232667989,85,84.7,86.9,93.4,54,43,41.4000015258789,60.7999992370605,85.599998474121,82.6999969482422,71.9000015258789,68.6999969482422,0.180527729891107,550,0.460282445397379,25721730719,0.266311939691526,27515436938,57.8654786361438,103.899164782894,19,6251,220,12,6,6.53828517990034,64.0317120309228,1.53090212522316,29.3376950491344,64.1240197709653,49.9995598291533,73,15,7,0,0.6,66.5054438084463,53817,805,5802020,0.935155496376854,548,34.4590891381178,13,1,256370,8,6,6,114,588,74,38,55.5,19,654,33,6.19999980926514,3.5,10100896,1.87471455240757
"Egypt",135,4.194,52.4352,51,8,9.2,625,6.9715,8,16.56,8,10,126,6315915,7.57424390945424,93,94.7,99.2,100,15,31.7,20,47.4000015258789,79.3000030517578,75,52.9000015258789,49.2999992370605,0.129079366936436,770,0.0285264721938712,26692508624,3.22292153996533,68188487759,64.9317228466562,114.305985751523,21,57588,850,12,6,5.17090205846929,89.9891204982671,2.2188633037184,32.9823697720699,61.8467281694608,49.4766401796301,21.8,20,8,5.8,0.88,31.7333323160807,236090,15873,50998602,2.14160606066686,429,4.7890330473421,7,2,1001450,29,6,6,179,1010,64,63,8,12,392,44.8,27.7999992370605,8.5,38581068,2.32107790567815
"El Salvador",42,6.13,65.5554,1784,3,43.9,1045,1,7,11.75,7,7,97,948000,14.8502009476559,94,74.2,93.1,97.2,41,29.7,34.4000015258789,64.1999969482422,82.3000030517578,79,65.599998474121,62.2000007629395,0.113748607652352,880,1.16435640851608,5272354227,0.0124560485074555,10510257693,57.5231296662366,144.025676436052,14.9,1580,58,13,7,7.9911508510724,294.773455598456,0.296162907552657,27.6152126510346,64.393636497893,53.0107375829812,32,25,5,28.2,1.12,60.8860740178748,35,10965,2061045,-1.11628365958818,135,22.1032250078835,8,3,21040,53,6,6,108,786,65,31,16.5,13,320,38.7,4.40000009536743,7.40000009536743,4046661,1.02329173011166
"Estonia",73,5.429,13.6678,626,8,1.4,765,0.753730736717402,7,5.65,3,4,16,407289,31.7259853977072,93,97.2,99.6,100,20,84.24,36.7000007629395,44,79.1999969482422,69.099998474121,75.599998474121,62.0999984741211,0.0155261072331526,6400,0.034618174924937,15537567600,0.529840977168138,17619357500,92.5988226301669,160.687848533734,2.5,32,1,13,7,18.5295885209196,30.9895022410946,-0.330744376877774,15.8226352621898,65.6477762168905,53.2471054996836,34.2,10,3,0,1.46,81.4761222580137,90,339,425332,-0.0244484984197865,1218,927.191136113638,4,7,45230,8,6,6,102,425,91,17.5,4.5,6,81,49.4,6.69999980926514,8.60000038146973,888313,-0.477070029310187
"Ethiopia",122,4.512,60.1198,848,3,90.1,2380,19.0752,0,5.47,8,11,148,820000,0.849687829354416,70,26.8,55.4,92.7,207,2.9,74.099998474121,78.9000015258789,90.099998474121,89.1999969482422,85.5,83.6999969482422,1.70857784533934,59,34.7078332467507,2596654996,12.7567447515477,16697435269,32.5559551379926,31.5938803866051,42.9,133012,12000,13,7,3.45337849509005,96.958732,2.50680865992637,42.0709451934664,54.4756763114435,50.0889388693738,0,10,7,0.2,0.99,87.7802754827345,659524,86861,78509424,1.96733844135428,22,0.226900657075425,11,3,1104300,30,6,6,129,530,95,52,19,44,306,31.8,7.80000019073486,2.90000009536743,18449308,4.83558736311604
"Finland",6,7.406,6.6682,536,6,1.1,615,0.753730736717402,6,5.77,4,5,10,638800,11.7351033719684,97,97.6,100,100,5.6,92.38,53.2000007629395,54.7999992370605,77.8000030517578,63.7000007629395,75.8000030517578,59.4000015258789,0.00467072159288606,21400,0.000747103613935077,73139528800,0.455494184151758,76348178400,90.9988923848378,139.663896204958,2,117,2,13,7,19.8080902829738,17.9788607719899,0.451710860588948,16.3233120303085,63.8685976867178,50.8056886741148,19.6,15,3,0,1.89,86.9701740382246,11798,7,869477,-0.386725561081632,9787,1791.31107058428,3,7,338420,8,6,6,64,375,42,32,14,9,93,40.1,7.90000009536743,9.19999980926514,4594119,0.611186428737516
"France",29,6.575,9.0482,867,9,0.9,1335,0.753730736717402,6,5.16,2,2,27,38805000,60.0312998138542,90,98.7,100,100,8.7,83.75,34.5999984741211,41.5999984741211,75.4000015258789,61.4000015258789,71,55.7000007629395,0.0167930237861025,6000,0.181644078343687,5.69654e+11,0.693234015735868,6.63691e+11,83.3487342453039,100.361566175075,3.6,2829,68,11,6,18.6690889318142,120.913311308229,0.425985399405988,18.5064735716549,62.824437496531,51.3296255348987,0,9,8,44.5,1.79,82.4104189196057,252264,92,13712117,-0.697519231708011,45249,683.448092216328,5,4,549087,8,5,7,183,395,71,49,4.5,10,137,68.9,9.69999980926514,10.1000003814697,52494813,0.72154602103291
"Gabon",143,3.896,102.2,1831,7,12.9,2145,494.415,2,10.71,6,8,156,17200,1.00508737832307,61,41.8,93.2,97.2,444,9.81,24,27.5,67.4000015258789,65.599998474121,62.7999992370605,61,1.21265886368711,82,1.44319375296057,9261522071,13.2501122716394,4872067963,53.821438429859,210.367125695526,37,1885,150,11,6,5.15544184211041,6.54974579889005,2.23626644664236,37.2914065698746,57.553151588015,49.4488565024149,0,11,6,50.8,1.02,86.1280507838563,1013,172,220748,0.253096942368295,18,10.6655732478981,7,6,267670,26,5,7,194,1070,148,103,50,20,488,40.6,25.7999992370605,14.6000003814697,1466925,2.53813477626378
"Georgia",130,4.297,41.1308,1026,9,3.4,1355,1.7657,8,2.55,4,4,24,1097364,25.3852442444114,92,86.9,99.6,100,106,48.9,25.5,41.9000015258789,79.3000030517578,75.5,69.8000030517578,65.4000015258789,0.0694911320630006,1400,0.0339345485675225,2861694590,0.110837403032702,8585735494,41.6923519198708,124.935540091449,11.3,662,20,12,6,14.1161809806448,78.8008677700409,0.375919386560632,17.2123147417922,68.671504277563,52.331010361423,56.8,7,1,0,1.24,75.2317870689543,442,6732,2095848,0.0347891074948868,167,37.0773295441931,2,9,69700,5,6,6,53,285,71,1,2,9,362,16.4,12.3000001907349,14.5,2408252,0.673747474250912
"Germany",26,6.75,6.9604,700,5,8.8,1015,0.753730736717402,8,7.93,4,4,15,47021000,56.8901591748445,97,99.2,100,100,6.2,86.19,47.9000015258789,52.9000015258789,82.6999969482422,66.4000015258789,77.4000015258789,59.9000015258789,0.00856142034325164,11700,0.00147616395078151,1.41863e+12,0.446007034956261,1.2028e+12,82.8309327818424,120.418982876886,3.2,2191,43,10,6,21.070280975949,232.080980662191,0.301977923369119,12.9772400362462,65.9524789878048,50.8861501851134,100,8,5,1.3,1.8,80.8734932664276,216973,176,20146340,-0.513764084156395,114865,1420.02352468346,9,6,357170,9,4,9,96,429,28,40,14.5,9,218,48.8,4.80000019073486,5.30000019073486,60743165,0.574006609398817
"Ghana",114,4.633,67.5004,1187,7,19.2,875,2.9351,6,3.8,6,7,112,260407,0.984816757530337,92,14.8,87.6,92.3,165,18.9,38.0999984741211,38.7999992370605,72.3000030517578,71.599998474121,70.599998474121,69.5,1.37308701552827,73,0.781737648493107,9996687093,7.03831878262832,18068485751,36.088532830186,114.819478940048,44.2,38970,2800,12,6,3.42673227858199,117.722589434825,2.35007566114568,38.9144414680804,57.6588262533376,50.3122008998679,14.1,15,5,0,1.06,94.2737450258424,18450,22147,12484698,0.950290792193316,99,3.69587806559086,8,7,238540,33,6,6,216,710,79,46,14,19,224,32.7,2.40000009536743,2.29999995231628,14301900,3.588229422939
"Greece",102,4.857,7.6694,652,7,2.2,1040,0.753730736717402,7,4.81,4,6,58,5219341,46.9010740444003,97,99,100,100,4.8,63.21,28,32.5999984741211,77.599998474121,62.5,68.3000030517578,53.0999984741211,0.00427511718286658,23400,0.161819961583082,35181949400,8.57373070975993,62920976500,64.8926313150909,114.961884920785,3.7,408,3,12,6,20.8689440754957,85.0096198603569,-0.635054054668695,14.6382114645175,64.4928444599868,51.1616315829327,82.5,18,10,0,1.98,70.5599975585937,7304,113,2445987,-2.12466322211339,1615,147.384405908518,5,3,131960,8,6,6,124,1580,51,20,13,15,193,50.7,31.3999996185303,22.6000003814697,8511753,-0.202854514690513
"Guatemala",43,6.123,81.404,1996,3,25.8,1355,7.7322,7,10.84,8,6,81,1718298,10.8343567860051,67,63.7,92.7,98.4,57,23.4,43.0999984741211,79.8000030517578,90.099998474121,88.1999969482422,69.9000015258789,67.8000030517578,0.330562969322578,300,0.00562687219797167,10671570300,0.0231390501171135,18260588900,57.270230205993,106.633770318935,25.1,11040,400,13,7,4.76306256928447,149.454031354983,2.04825214531038,37.1209592410949,58.1159781896206,51.1018767201311,8.7,11,6,19.2,1.01,56.1224509214527,164,7483,7829174,1.12382944271429,281,17.5455093673664,6,9,108890,8,6,5,158,1402,39,24,18.5,17,256,39.9,3,2.79999995231628,8186320,2.9404118322831
"Guinea",150,3.656,141.6722,1651,7,82.6,915,7014.1188,0,4.37,7,8,171,0,0,52,20,76.7,92.7,177,1.72,52.2000007629395,57,79.5,78.4000015258789,73.4000015258789,72,3.56012595809203,28,43.4196839574587,2491413830,17.8459822711765,6610627764,20.4978500676943,72.098750753286,62.8,28094,3100,13,7,3.061905203744,49.9573783167833,2.69829437337075,42.7412444288543,54.1968503674018,49.8734759004644,0,27,6,0,1.45,83.8010148846176,8766,15243,7772864,1.95720773460562,4,0.325851590730076,6,6,245860,57,6,7,173,311,69,44,8,36,440,68.3,1.60000002384186,2,4502663,3.99068625912595
"Haiti",119,4.518,39.675,1440,2,246.7,1200,44.6238,0,6.7,8,9,179,41000,0.391916614673989,53,27.4,57.5,64.9,200,11.4,33,39,72,71.099998474121,67.5,66,1.14671242779009,87,8.93795019239879,986891687.4,0.22947024184366,5214047404,37.2035686115164,64.7074595783417,53.5,13827,970,12,6,4.57941422597308,383.600471698113,1.34057272710327,34.1552695324616,61.2653162415654,50.5434860233546,0,12,5,1.1,1.16,85.9353020891558,3,37161,4499878,-1.5949672022439,18,1.70260599928358,12,2,27750,47,6,7,80,530,60,312,97,28,184,40.3,7.80000019073486,5.90000009536743,6072151,3.57298712153908
"Honduras",105,4.788,65.6586,1976,0,39,1450,21.13,8,11.69,5,6,115,532583,6.44715146290003,88,82.6,90.6,97.2,43,19.08,31.6000003814697,66.4000015258789,84.6999969482422,82.9000015258789,64.6999969482422,62.7999992370605,0.352049033805421,280,0.0107161406910309,5366200385,0.0224216694263473,10208545619,59.6250636690709,93.5156364150515,18,2943,220,12,6,4.7357969674742,71.1563142371973,1.42463808660857,32.5293279810291,62.7348750514967,50.0171571829061,36.1,15,6,21.8,1.2,51.9903470214854,26,4159,3651465,0.124877163504624,91,11.4297484952925,12,9,112490,48,6,5,82,920,39,22,14,12,224,41.8,5.09999990463257,3.29999995231628,4310215,2.53912498161389
"Hungary",104,4.8,18.2126,589,2,8.3,885,232.601666666667,5,5.94,6,6,40,3011253,30.3151168312482,99,98,100,100,12,76.13,24.3999996185303,29.2000007629395,70.599998474121,60,64.599998474121,52,0.0225885039070891,4400,0.013709466210121,1.07905e+11,0.04285260182568,1.03093e+11,84.7212803973112,118.053828318504,5.3,466,15,11,7,17.5340612404622,108.932652159505,-0.317989531802519,14.5422335113666,67.9237052481713,52.4242886929018,74.6,23,4,0,1.58,74.8333358764648,2867,1267,2882468,-1.89637511873779,2966,300.760327380557,4,10,93030,11,4,8,179,395,252,16.5,5,17,277,48,7.80000019073486,7.90000009536743,6979205,0.34123639507059
"Iceland",2,7.561,6.48,1940,7,2.4,1530,116.767352506899,7,3.2,4,4,18,171535,51.4911372266499,90,98.8,100,100,3.3,98.16,74.3000030517578,69.9000015258789,86.8000030517578,77.4000015258789,84.599998474121,73.9000015258789,0.00697920225294965,14300,5.0853629411388e-06,5052575979,0.0355894252845853,5374676769,81.3052296023015,111.080192714665,1.6,7,0,13,6,13.3329056147233,3.26772069825436,1.17449185595701,20.419591956446,66.2475024288307,49.8784057094324,100,17,3,0,1.85,90.8268755372735,99,1,19518,-0.490648025085912,1053,3214.39364569628,5,5,103000,21,7,7,84,417,22,3.5,4,10,140,29.7,4.69999980926514,5.30000019073486,308071,1.28092751218466
"India",117,4.565,25.6746,1083,7,15.3,1332,61.2209,7,9.11,7,10,134,27000105,2.13035076612075,83,39.5,94.1,97.1,167,18,17.6000003814697,51.2000007629395,82.5,79.9000015258789,56.5,54.2000007629395,0.477453265886423,210,1.5179207136839,3.17733e+11,1.15334490814615,4.60512e+11,57.9723056823709,74.4837699065089,39.3,985575,47000,11,6,5.48830449671205,435.657170581093,1.22673029572789,29.2127967672526,65.2988987360354,48.1609277364054,22.4,33.6,7,0,1.1,33.792239655033,199937,10433,876057482,0.678218163733164,7173,5.53774942696434,13.9,6,3287260,33,5,7,191.5,1420,105.7,47,34,17.1,243,60.6,4,3.5,419234061,2.38274066753601
"Indonesia",74,5.399,50.001,2702,10,21.1,571.8,11865.2112963,6,6.03,4,8,120,29637557,11.723149327676,77,60.6,86.8,94,399,17.14,40.2000007629395,60,86.099998474121,84,69.9000015258789,67.6999969482422,0.336565117775161,300,0.124750004770484,1.76292e+11,0.0280580281578291,1.78179e+11,59.109777790312,126.180596988093,23.6,128419,6800,13,7,5.10861501684987,140.460914013811,1.26019335881402,27.9827706752671,66.908614307883,49.6315612513277,0,17,5,46.4,0.93,61.1904780069987,4270,9562,119586112,-0.325147436029498,1586,6.23293463956884,13,4,1910930,65,6,6,210.2,471,81.3,27.4,52.5,17,253.5,31.4,7.19999980926514,5.59999990463257,134868666,2.6872278578043
"Iran",110,4.686,27.0988,228,7,3.1,1350,25941.6641,7,10.01,7,11,119,30588405,38.9809079423784,99,89.9,96.2,97.7,22,39.35,13.3000001907349,48.4000015258789,77.1999969482422,74,47.5,45.4000015258789,0.0518115655672046,1900,1.6171608096871,86286869556,25.6194187809338,96317772031,54.0617845130565,87.7927311076041,13.9,19143,350,12,6,4.96973752593365,47.9835706610175,1.27654529687566,23.5186306387248,71.5116318353416,49.6227293930649,33.8,15,7,45,0.374,22.5675685985669,982027,82170,21212092,-0.675182863426367,167,2.13708999800419,8,2,1745150,20,6,6,97,505,110,12,15,25,344,44.1,19.6000003814697,11.3000001907349,56931552,2.01359082423708
"Iraq",112,4.677,83.2342,216,4,38.2,3550,1166,0,9.6,10,10,160,1947700,5.60186772258005,57,85.6,86.6,93.8,43,11.3,8.19999980926514,48.0999984741211,72.1999969482422,69.8000030517578,44.2000007629395,42.4000015258789,0.245101754191937,410,-1.93009946941665e-09,79538326311,-3.44261610849373e-10,50292610217,29.7808699125116,94.9127867973207,27.2,32607,610,12,6,3.055623414576,80.1536332657948,3.00616083391248,41.1498297026025,55.7945468828215,49.39321656189,0,12,5,0,0.43,21.489970407132,271143,369904,10666149,2.68356940574354,25,0.718136443971023,10,1,435240,14,6,6,249,520,77,51,29,80,312,27.8,24.1000003814697,14.8000001907349,24146177,3.14899197087569
"Ireland",18,6.94,10.7732,1118,9,0.3,1160,0.753730736717402,7,5.37,2,2,19,2022522,43.2408591207823,93,90.5,97.9,97.9,7.4,79.69,39.4000015258789,41.4000015258789,77,68,69.9000015258789,60.4000015258789,0.0165377854080699,6000,1.92119567878519,1.10979e+11,0.749756981050469,70142303300,88.5428802278867,104.255495644961,3.1,215,5,13,5,12.7019287451734,66.9577442299318,0.313212277361193,21.6489517800873,65.6491194747393,50.106734223655,100,10,5,0,1.92,78.0882330501781,5853,10,1708920,-0.453118345004154,3575,775.030952459927,4,7,70280,9,8,5,149.5,650,85,31.5,6,8,80,25.9,9.80000019073486,13.1000003814697,2903799,0.766967287911303
"Israel",11,7.278,10.0612,435,7,3.5,620,3.5779,7,5.46,4,4,50,2900000,37.0744097466322,96,100,100,100,5.8,71.45,46.9000015258789,47.9000015258789,75.4000015258789,68.599998474121,71,63,0.0167008448171209,6000,17.0732348493339,68955600000,5.34401846985597,72275700000,63.848707103494,121.450652618278,3.3,577,9,12,6,11.0311716770475,379.634935304991,1.91467495311992,27.7740376797834,61.1947906431691,50.4556404995136,100,15,6,0,1.88,84.1107901550558,330,971,650980,1.11016739067445,2089,254.281645222938,5,6,22070,33,6,6,209,975,102,81,13,10,235,29.2,6.30000019073486,6,7564320,1.9842137246051
"Italy",50,5.948,6.0838,832,7,14.2,1195,0.753730736717402,7,4.93,3,3,44,20570000,33.6825356985755,86,99.5,100,100,6,61.96,24.5,33.4000015258789,74.4000015258789,59.5,64.1999969482422,49.2000007629395,0.00510985740818386,19600,0.617043993093038,5.21495e+11,1.33095962569152,4.51139e+11,71.7125227258118,154.248656431979,3,1455,19,11,6,22.0141920876075,208.527867682056,1.81371421076964,13.7856744656977,64.2001334466948,51.4035728543672,100,10,4,24.6,2.14,66.7226903578815,93715,67,19124072,1.38166713955495,15285,249.199549363741,5,2,301340,13,5,8,227.5,1185,124,16,6,19,269,65.2,13.6000003814697,11.6999998092651,42212315,2.01006700513053
"Ivory Coast",151,3.655,135.464,1348,7,20,1390,494.415,0,5.56,9,13,145,242684,1.16648226988671,63,22.3,81.8,93.1,165,14.6,40.5,61.0999984741211,81.9000015258789,81.3000030517578,67.9000015258789,67.3000030517578,3.30026660155576,30,8.10526969672841,12843612834,1.57083178789886,12226446403,41.0159808532751,106.247609322745,68.5,55357,5500,12,6,3.03486371212632,69.6764371069182,2.44243260978919,42.7249685620059,54.2401677258678,49.1022496754653,0,23,6,3.2,1.42,64.5756433324819,1925,71959,10307708,0.921419470539466,57,2.57253801229556,4,6,322460,63,6,7,347,525,55,30,7,25,270,51.9,3.70000004768372,4.09999990463257,11849399,3.78463207993547
"Jamaica",65,5.709,60.5584,2051,4,4.9,1580,111.22,6,10.53,6,7,71,253595,9.06072772369381,92,81.8,93.8,97.5,4.7,40.5,31.1000003814697,40.4000015258789,74.3000030517578,70.9000015258789,67.8000030517578,63.2999992370605,0.199065557892332,500,2.46760736482844,1451996337,1.82900055070869,5820169199,76.4121976207173,102.920927513821,13.9,555,44,12,6,8.95688249312597,251.269806094183,0.239809415391168,24.1523284761512,66.8907890307229,50.2100204038298,10.1,17,8,0,1.14,79.1255250589018,22,1692,1236646,-0.243104555294181,155,56.9590761899302,2,10,10990,36,6,5,159.5,655,95,18,15,20,368,41.1,17.2999992370605,9.69999980926514,1484606,0.643854743625485
"Japan",46,5.987,4.1584,1668,7,7.5,829.3,105.944781034025,6,5.12,3,5,30,63610245,50.0868828085157,98,100,100,100,18,90.58,43.5,42.0999984741211,84.6999969482422,70.099998474121,75.099998474121,59,0.00759089647579449,13200,0.0072155413875261,6.9019e+11,0.215281919519265,8.12206e+11,57.869612603185,120.232998305005,2.1,2218,57,12,6,25.7054221977529,348.726684222076,-0.162550165733791,12.9392124413157,61.3553653609314,51.3501682927038,100,12,6,0,1.38,69.472185196863,2560,263,8872528,-7.48221937096803,115904,911.683780139981,8,4,377962,14,6,6,197,360,97.7,13,10.2,11,330,51.3,3.40000009536743,3.90000009536743,118259272,0.408843226044034
"Jordan",82,5.192,23.7632,111,4,21.4,825,0.71,0,11.45,5,7,107,375483,5.0032299276784,98,98.6,96.9,97.8,5.5,44,10.5,39.7999992370605,70,66.9000015258789,43.9000015258789,41.7999992370605,0.211368656102752,470,0.47663578898871,8379263521,9.80905561467567,22726952394,66.1172840141133,147.804955007534,15.8,3257,120,12,6,3.7747285190848,74.419914395134,2.25003752532381,35.8488571392742,60.376414341641,48.7472025326577,0,16,7,2.2,1.27,23.6173390588384,2771502,1716,1093657,0.834445345247514,201,30.4222794006357,7,0,89320,25,6,6,63,689,50,21,12,12,151,29,19.5,9.19999980926514,5513343,2.53323974056616
"Kazakhstan",54,5.855,28.586,250,7,0.5,5285,179.1917,7,5.01,10,12,53,4338200,26.1229112419565,99,97.5,92.9,99.4,99,54.89,44.2000007629395,50.5,82.8000030517578,78.1999969482422,78.9000015258789,72.6999969482422,0.0353457842337509,2800,0.000366872499014062,55391357123,0.0230824594190013,48178365393,58.7652217155191,168.622904317115,13.5,5375,47,11,7,6.73203151277592,6.40408600955662,1.47906871521046,26.1308486985757,67.1371197886484,51.7158416016559,51.7,25,4,0,0.81,86.8286498410217,633,2212,8075744,1.63118801953543,250,14.4599684737983,6,3,2724902,6,4,7,154,370,88,11,10,79,188,28.9,4.90000009536743,3.20000004768372,9213367,1.34592242619391
"Kenya",125,4.419,91.531,630,3,42.7,2255,87.9222,0,4.54,8,9,129,179990,0.395183065552657,79,30.1,63.1,81.6,246,43.4,35.5,43.0999984741211,73,72.5,68,67.4000015258789,2.46034599373976,41,0.0440143758437232,6658027685,0.607132691957995,23011847257,39.7471166578984,73.8432480759004,36.6,54806,8200,12,6,2.75660104989831,78.8269722739572,2.64412139590371,42.1251552734876,55.1182436766141,50.0125324363861,4.9,15,9,0,1.21,86.0689676219019,551352,8556,33559306,2.08820549821105,350,7.80142771922608,11,7,580370,30,6,6,131,465,145,72,30,26,201.5,37.1,10.6000003814697,8,11304277,4.31292686705993
"Kuwait",39,6.295,10.1472,121,4,2,1085,0.2846,6,23.13,7,10,100,494000,14.1979685408656,94,100,99,99,21,78.7,24.2999992370605,42.7000007629395,85.1999969482422,83.3000030517578,70.4000015258789,68.5,0.00997497866366763,10000,0.032122860204241,92036927577,-5.6857631461093e-10,31647809152,67.7366437296579,218.430285244086,7.7,544,3,11,6,1.94627351476277,210.612850729517,4.3408509000704,22.4799307030069,75.5737957822303,43.8435637966375,32,22,8,10.9,0.22,52.5810295707261,614,994,62827,3.38977097152716,746,198.76790543124,12,2,17820,12,5,7,216,566,64,49,31,15,98,12.8,2.40000009536743,3.09999990463257,3690294,4.35712153809541
"Kyrgyzstan",77,5.286,39.9964,533,7,2.3,4760,53.6541,5,6.3,9,11,67,443095,7.87722343851528,96,93.2,89.2,96.7,142,28.3,37.2999992370605,58.7999992370605,83,80,71.1999969482422,67.8000030517578,0.264281600430643,380,-3.05143852678381e-09,1128115420,11.5118177522031,10597304040,27.7589398674707,134.460868104352,20.1,3494,120,11,7,4.23208776345197,30.4181438998957,1.98382797777331,31.049707740942,64.7182044956061,50.5321105062156,38.2,11,3,0,0.94,70.3749990463256,482,2437,3758100,1.82561586519594,53,9.08436460868671,4,8,199949,51,4,7,142,410,125,5,10,63,225,29,9.10000038146973,7.30000019073486,2076100,2.27085746781448
"Laos",99,4.876,64.541,1834,6,5.3,1950,7860.1375,0,5.03,10,10,139,920756,13.3557138294234,87,70.5,75.5,85.6,189,14.26,67.9000015258789,58.7999992370605,81.3000030517578,79.3000030517578,80.6999969482422,77.8000030517578,0.728084551574893,140,0.773816123237369,4685162224,88.3847651188727,7948457882,10.4390037331327,66.9933325577907,52.3,9111,380,11,6,3.77417667020466,28.9831022530329,1.64767691845082,35.1009672163007,61.1248561134947,50.2578296682762,0,11,4,3.5,1.4,96.2168980018299,0,7482,4177401,-0.070090796650697,14,2.09289462275574,6,6,236800,35,5,7,83,443,134,53,73,23,362,25.8,1.20000004768372,1.60000002384186,2511899,4.57140637703811
"Latvia",89,5.098,13.978,641,5,3.6,600,0.7537,6,4.98,5,5,22,387000,18.9602623277225,95,87.4,99.3,99.8,49,75.83,37.4000015258789,45.2999992370605,78.5,68,75.599998474121,60.9000015258789,0.0278697999039511,3600,0.00194292169580999,14382765500,0.0243875213011017,17612650100,91.2343458182934,124.197067185469,7.2,116,4,13,7,19.2601216274228,32.0043576137643,-1.11397660288086,14.6287186694776,66.1111597030996,54.1718567937129,0,12,5,76.8,1.48,81.1764717102051,183,213,648436,-0.945035885315851,718,360.740392021307,4,9,64490,7,6,6,149,469,107,17.5,12.5,10,193,35,9.30000019073486,10.6999998092651,1341915,-1.19550944627833
